Attack Type,Action Taken,Severity Level,Protocol,Malware Indicators,Device Information,Localidad,Region
0,2,2,2,1,131,132,21
0,2,0,1,1,0,262,1
2,2,0,2,0,157,118,13
0,1,1,2,0,0,313,12
0,0,1,1,0,0,256,11
0,0,1,2,1,0,169,0
2,1,0,1,1,0,83,1
2,2,1,2,1,0,127,12
1,0,2,0,0,0,206,10
0,1,1,1,0,34,73,2
2,2,0,0,1,0,202,10
0,1,2,1,1,0,286,22
1,1,1,2,0,0,124,16
0,2,0,2,1,0,267,27
2,2,1,2,1,0,45,16
0,1,1,0,0,161,2,5
2,0,1,0,0,0,253,14
1,1,2,1,0,0,127,9
0,2,0,0,0,0,239,5
0,2,0,0,0,0,176,9
0,0,1,0,1,0,238,2
2,1,2,1,0,0,296,14
1,1,2,1,0,0,50,10
0,1,2,0,1,0,73,15
2,0,2,1,1,0,110,14
1,1,2,1,1,0,142,24
2,0,0,1,0,0,220,16
2,0,2,2,1,0,237,23
0,2,0,1,1,0,59,23
1,0,2,1,0,0,170,6
0,1,1,2,0,106,79,15
2,0,2,0,0,0,179,14
0,2,2,0,0,0,59,18
1,2,2,2,0,0,178,20
2,1,1,0,0,0,96,11
1,2,2,0,0,0,159,5
2,2,2,0,0,0,305,5
0,2,1,0,0,0,204,21
2,2,2,1,1,0,298,22
0,0,2,1,0,131,142,24
0,0,0,0,0,0,315,2
1,0,1,0,0,0,234,4
0,2,2,2,0,0,73,14
2,2,0,0,0,19,273,4
0,1,2,0,0,0,303,0
0,0,2,0,0,0,118,11
2,1,2,1,0,0,177,1
2,1,2,2,1,0,242,4
2,2,2,0,1,0,222,6
0,2,1,2,0,0,188,19
1,2,0,2,0,0,214,17
2,2,0,1,0,160,17,15
0,1,2,0,0,0,239,3
1,2,2,1,1,0,33,11
0,2,0,2,1,0,314,6
1,1,0,2,1,0,8,1
2,1,0,2,0,0,315,1
2,1,2,1,0,48,118,6
2,2,0,2,0,42,86,16
1,1,0,0,0,0,30,5
0,2,2,2,1,49,269,22
1,0,2,1,0,0,63,27
1,0,1,1,1,41,76,6
0,1,0,0,1,54,229,10
1,2,2,1,0,0,254,19
1,2,2,1,1,22,50,4
1,1,0,1,0,0,225,9
2,0,0,2,1,0,182,5
0,2,0,0,0,0,25,5
0,0,1,2,1,0,277,2
2,2,0,2,0,0,175,0
0,0,1,2,1,0,175,20
1,2,2,2,1,0,6,27
0,1,2,1,0,0,202,14
0,2,0,1,1,0,95,23
2,0,0,1,1,0,154,13
2,1,2,0,1,0,282,1
0,2,0,2,1,147,194,2
2,2,2,2,1,110,135,4
2,0,2,1,0,0,155,24
2,0,0,0,0,0,14,22
2,1,2,0,0,0,266,3
2,2,2,0,1,0,265,21
0,1,0,0,1,178,127,23
1,2,1,2,0,0,47,9
0,2,1,0,1,0,56,1
1,0,2,0,1,0,160,22
1,1,1,2,0,39,258,9
0,0,2,0,1,0,74,18
1,2,0,1,1,0,210,2
1,1,2,1,0,0,43,26
2,2,1,0,1,0,308,8
0,2,0,0,1,144,73,13
1,1,1,2,0,0,20,13
0,0,2,1,1,150,251,16
1,1,1,0,0,3,202,7
0,0,0,0,1,0,127,20
2,1,2,1,1,0,198,24
0,2,1,1,0,0,77,2
1,0,0,2,0,0,170,20
0,1,0,1,1,0,277,5
0,2,0,1,1,69,50,21
0,0,1,2,1,0,73,6
2,1,0,0,1,0,87,2
2,2,0,1,0,0,68,21
0,1,2,1,0,0,28,13
1,2,0,2,0,81,82,15
2,0,1,0,1,0,2,9
0,2,0,0,0,0,128,2
1,0,1,0,0,0,125,6
2,0,2,0,0,0,171,12
0,1,0,1,1,0,108,22
1,2,1,0,0,0,212,4
0,0,1,0,1,0,145,25
0,0,2,2,0,0,110,1
2,2,1,1,1,0,165,9
2,1,1,1,1,0,43,20
0,0,0,2,1,0,121,0
2,2,0,0,0,0,184,2
2,1,0,0,1,45,315,6
1,2,0,0,0,0,270,13
2,2,2,2,0,0,263,14
2,1,1,0,1,0,16,9
2,0,1,2,0,0,247,12
2,0,0,0,0,0,251,12
0,1,0,2,1,0,73,16
2,1,2,1,1,5,44,21
2,1,1,0,1,0,23,7
1,0,2,0,1,0,117,5
0,1,2,0,1,0,248,9
1,2,2,2,0,0,239,5
2,0,2,1,0,0,69,10
0,0,0,1,1,0,296,19
2,2,0,1,0,0,179,5
0,2,1,0,0,0,158,10
2,2,2,2,0,0,145,11
1,1,2,0,1,0,289,2
0,0,2,0,1,0,178,20
0,1,0,0,1,0,122,4
1,0,2,2,1,0,89,19
0,1,2,1,1,0,57,21
0,1,1,1,1,0,65,17
1,0,0,2,1,31,183,17
2,1,0,2,1,0,65,5
2,1,1,0,1,0,186,0
2,0,1,2,1,24,299,4
1,2,0,1,0,0,15,17
2,2,1,1,0,0,77,16
0,2,0,1,0,108,85,17
1,0,0,1,0,0,308,11
2,1,2,2,0,0,132,5
1,1,0,0,1,0,172,3
0,0,2,0,0,0,192,1
0,2,2,1,0,0,61,6
0,1,2,1,0,0,16,27
2,2,2,2,0,0,121,27
1,2,2,1,0,0,174,23
0,2,0,0,0,0,154,25
2,0,1,1,0,47,131,8
0,2,1,2,0,31,175,25
0,0,1,1,0,0,208,15
1,0,1,1,0,0,81,12
1,2,1,0,1,0,162,0
1,2,1,2,1,100,55,26
1,2,1,1,1,0,55,6
0,0,1,0,0,0,184,0
0,0,0,0,0,0,294,19
0,0,1,1,0,0,145,24
1,2,0,0,0,170,13,1
1,1,2,2,1,0,89,6
0,0,1,0,1,0,246,2
2,0,1,2,1,0,277,17
1,0,2,1,0,0,286,23
0,0,1,1,1,145,237,9
1,1,2,0,1,0,165,18
0,2,0,0,1,0,124,13
1,1,2,2,1,61,289,27
0,2,2,2,0,0,85,27
1,2,2,2,0,0,108,2
0,1,1,2,0,0,31,26
2,1,2,1,0,0,43,23
0,0,2,0,1,0,143,3
2,0,0,1,1,132,179,12
0,1,2,0,0,0,294,22
2,1,2,0,0,0,233,6
1,1,1,0,0,0,198,26
2,1,2,1,1,0,249,9
0,0,2,0,1,0,72,17
2,1,1,1,0,0,100,24
2,2,2,0,1,0,18,21
2,1,2,0,1,0,141,13
2,1,0,2,1,0,294,5
2,0,1,1,1,0,125,25
1,1,2,2,0,0,24,12
0,1,2,1,1,141,185,8
2,0,1,2,1,0,112,7
1,1,0,0,1,0,313,27
0,0,0,0,0,100,271,12
2,1,2,1,0,3,11,21
2,0,2,2,1,0,282,22
1,0,2,0,0,0,75,24
1,0,1,0,1,151,105,26
1,2,1,1,1,0,265,23
0,1,1,2,0,0,185,18
2,2,1,2,1,170,157,1
0,0,0,1,0,0,309,1
2,0,2,2,1,0,216,25
0,2,0,1,1,0,63,27
0,0,0,0,0,0,73,23
1,0,0,1,0,0,86,10
0,1,1,2,0,0,40,18
0,2,0,2,0,9,312,18
2,0,2,0,0,0,14,13
0,1,1,1,1,0,102,13
2,0,1,0,1,152,125,10
2,0,0,2,1,0,159,9
0,1,1,1,1,0,64,17
0,0,1,2,1,0,132,7
1,0,2,1,0,0,83,10
2,1,0,1,0,27,296,15
2,0,2,1,0,0,143,1
1,0,1,1,1,0,195,21
0,0,1,0,1,0,34,7
1,2,1,0,1,0,245,24
0,0,2,2,0,0,140,7
1,2,1,2,0,0,214,22
0,1,1,0,1,42,142,27
2,0,1,1,0,0,110,6
1,1,0,0,0,0,264,7
2,1,0,1,1,0,277,3
0,0,0,0,0,0,311,9
2,2,2,1,1,0,10,16
1,1,0,2,1,136,146,21
0,1,1,2,0,0,157,26
0,2,0,1,1,66,284,19
0,1,0,2,1,106,205,25
2,2,1,1,0,0,128,2
0,0,1,2,1,0,295,4
2,2,1,0,1,0,55,15
1,2,0,0,0,0,107,24
1,2,2,1,1,0,263,15
2,0,0,1,1,0,19,14
2,1,1,1,1,0,40,13
1,2,1,1,0,40,188,26
2,2,1,0,0,0,134,6
2,2,0,2,0,146,259,3
0,0,2,0,1,70,22,15
2,1,2,1,1,0,298,2
0,1,0,0,0,0,50,1
0,2,0,0,1,0,263,17
0,0,1,1,0,0,82,8
2,2,0,0,0,0,106,16
0,2,1,2,1,0,80,12
0,2,0,2,0,0,68,15
2,1,2,0,0,130,273,4
2,2,0,0,0,0,90,2
2,1,1,1,0,0,45,23
1,0,2,1,1,0,64,18
1,1,2,0,0,0,310,15
0,0,1,2,1,0,143,6
2,0,2,2,0,0,127,13
1,2,0,1,0,0,133,5
0,2,0,0,1,94,293,2
1,0,2,0,1,0,99,15
2,1,2,1,0,0,168,7
0,2,2,2,0,0,115,14
1,1,1,0,0,0,240,16
2,2,0,0,0,0,250,22
2,2,0,0,0,71,274,26
0,1,0,0,1,0,50,4
1,1,1,1,1,0,255,10
0,2,1,0,0,113,151,2
1,2,0,1,0,0,29,1
0,0,2,2,0,0,42,7
2,2,0,1,0,0,44,3
0,0,2,1,1,0,3,5
1,0,2,1,1,0,100,15
0,0,0,1,1,0,51,7
0,1,0,0,1,0,272,19
2,0,0,2,0,0,269,22
2,2,2,2,0,0,110,11
2,2,0,0,0,0,205,24
1,2,2,2,0,0,135,0
1,0,1,2,0,0,143,22
1,2,2,0,1,0,148,7
2,2,1,1,1,0,127,15
0,0,2,1,0,0,139,4
0,1,1,2,0,0,50,7
1,1,1,2,0,88,199,20
1,0,1,2,0,89,47,18
2,0,0,1,1,0,304,2
1,1,2,0,1,101,252,22
2,0,1,2,0,31,284,20
2,0,2,1,1,0,229,10
2,0,2,1,0,173,61,22
1,0,0,0,1,0,151,3
2,0,1,1,1,0,160,26
2,0,0,2,1,6,215,26
1,1,1,2,0,57,119,15
2,1,0,2,1,0,192,27
0,0,0,0,1,0,123,15
2,1,0,2,0,113,0,4
0,1,2,2,0,0,102,12
1,2,2,1,1,167,272,8
2,2,2,0,0,0,213,5
0,1,0,0,0,0,186,14
0,1,2,0,1,0,304,7
1,2,1,2,1,0,191,1
2,1,0,2,1,0,194,6
2,1,0,0,1,0,245,1
1,0,1,2,1,178,109,6
2,2,2,0,1,83,149,5
1,1,2,2,0,0,122,26
0,0,1,0,1,0,120,19
1,0,2,2,1,0,131,23
2,1,2,1,1,0,92,0
2,1,2,2,1,0,121,17
2,1,1,0,0,0,227,7
1,0,2,1,1,0,75,25
0,2,1,0,1,174,144,15
2,2,1,0,0,0,88,18
2,0,1,1,0,0,305,18
2,0,0,0,1,0,282,9
1,1,1,2,1,0,147,12
2,1,2,1,0,0,284,11
1,1,2,0,1,0,123,23
0,1,1,1,0,0,292,21
2,1,0,2,1,0,305,3
0,1,0,0,1,0,108,16
2,2,2,1,1,101,206,2
1,0,2,1,0,0,140,17
0,0,1,1,0,0,85,23
0,2,1,1,0,0,260,4
0,1,1,1,0,0,207,1
1,1,0,0,0,138,284,12
1,1,1,1,0,0,39,26
0,2,0,0,1,0,285,22
1,2,1,2,1,0,292,10
0,0,2,0,1,0,171,17
0,0,1,0,0,0,131,7
1,2,1,2,0,0,252,15
0,2,0,0,0,0,208,6
2,1,0,2,1,109,66,23
0,1,0,2,0,9,279,3
2,1,2,0,1,0,193,22
0,2,2,1,0,122,124,14
2,2,1,2,1,0,84,13
0,1,1,0,0,0,140,20
0,0,2,1,0,0,159,17
0,2,1,1,0,0,21,15
0,1,0,0,0,0,179,4
2,1,1,1,1,0,138,10
2,2,0,0,0,3,263,14
1,2,0,1,1,0,9,25
2,2,0,0,0,0,265,3
0,1,2,2,1,0,155,8
2,2,0,1,0,0,133,14
1,0,2,1,0,95,97,7
1,2,1,0,1,36,107,12
1,2,2,0,0,156,32,0
1,0,2,2,1,0,157,25
2,2,2,0,0,0,255,19
1,1,1,1,1,0,252,5
1,2,1,2,1,0,4,24
1,1,1,0,1,0,273,4
2,1,0,2,0,110,70,17
1,2,2,2,0,73,52,1
1,1,1,2,1,0,294,11
0,0,0,2,0,0,301,19
2,0,1,2,1,0,180,3
1,2,1,0,0,166,173,22
0,0,0,0,0,0,257,18
1,2,1,0,0,168,75,5
2,1,1,2,0,0,159,20
0,1,1,0,1,0,217,12
1,0,1,2,1,0,220,22
1,0,2,1,1,0,118,4
1,2,0,0,0,0,246,12
0,2,0,2,0,0,100,19
2,1,2,1,1,0,205,25
0,1,0,0,1,0,74,4
2,2,1,0,0,0,190,17
1,0,2,0,0,0,3,27
0,0,0,1,1,53,51,4
1,2,2,1,1,0,303,23
0,2,1,1,1,0,291,9
2,2,0,0,0,0,130,0
2,0,2,0,1,0,109,14
0,1,2,1,0,0,187,12
0,1,1,1,1,0,157,0
2,0,0,1,0,101,276,3
0,2,2,1,1,0,231,19
1,1,1,0,1,0,267,14
1,1,2,1,0,110,205,25
0,0,1,0,0,0,8,16
0,1,0,1,0,170,202,14
2,0,2,1,1,0,9,5
1,2,0,0,0,0,23,24
1,1,0,1,1,73,271,1
2,1,2,2,0,28,200,20
1,1,0,2,1,0,238,14
2,1,2,1,0,0,31,16
2,2,2,2,0,0,275,13
1,1,1,0,0,0,129,20
2,1,1,1,1,0,60,11
2,0,0,1,1,0,286,10
1,2,0,2,1,0,277,15
1,2,1,2,0,0,43,9
0,0,0,0,0,0,139,10
2,1,0,0,1,0,196,12
1,0,0,0,0,0,198,20
1,1,1,0,1,0,280,17
1,2,2,2,1,0,286,21
1,2,2,0,0,0,291,0
2,0,1,0,1,116,217,27
2,2,1,0,1,0,243,8
0,0,0,0,1,0,120,23
1,2,0,0,0,0,202,18
0,2,1,1,1,0,90,21
1,1,2,2,0,0,307,16
0,0,2,1,0,0,286,4
2,2,1,2,0,68,101,20
1,1,0,1,0,0,32,9
0,1,1,1,1,0,78,25
1,0,1,0,0,0,35,16
2,2,0,2,1,0,79,18
0,2,2,0,0,179,106,11
2,1,1,0,0,0,203,24
1,0,2,0,0,43,23,20
2,0,1,1,1,0,191,27
2,0,1,1,0,0,173,11
0,1,2,0,0,0,87,19
2,2,1,1,1,0,43,12
0,0,2,1,1,12,89,9
1,2,1,0,1,0,56,20
2,1,0,2,0,0,15,1
0,1,1,1,0,174,172,19
1,2,1,0,0,0,287,9
0,0,2,2,0,0,98,3
2,0,0,2,1,41,93,9
2,0,2,1,1,0,203,26
0,1,1,1,1,0,19,10
2,0,1,2,1,0,210,13
1,0,1,2,1,0,236,10
0,1,1,0,1,0,110,15
1,0,0,1,0,0,40,0
1,0,0,0,1,0,99,14
0,0,0,2,1,111,224,2
1,1,0,1,1,0,163,25
1,1,1,1,1,0,294,9
2,0,0,1,1,0,160,13
2,0,1,0,0,160,36,10
2,1,2,2,0,0,250,2
2,2,2,2,1,0,271,24
0,1,2,0,1,0,313,0
0,2,0,0,1,0,269,22
2,0,1,1,1,0,69,5
0,0,1,0,1,0,293,24
1,1,0,2,0,0,16,24
1,0,2,1,1,0,26,10
2,2,2,0,1,0,47,0
1,0,2,2,1,0,241,1
2,2,0,2,0,0,35,15
1,1,0,1,0,0,182,1
0,1,1,0,1,0,98,26
0,0,1,2,0,116,31,16
2,2,2,0,1,0,257,18
1,0,0,0,1,0,101,8
2,0,2,0,1,0,92,26
2,1,1,0,0,0,203,12
1,0,0,2,1,0,265,11
2,1,2,2,0,0,117,11
2,2,1,0,1,0,70,14
0,0,1,1,1,0,121,22
1,0,2,1,0,131,165,7
2,0,1,0,0,0,242,13
1,2,1,1,1,0,315,25
2,0,0,2,1,0,21,26
0,2,2,2,1,0,244,17
0,1,1,2,0,0,82,22
0,1,0,0,0,0,240,5
1,2,2,0,1,0,32,11
2,1,1,2,0,0,209,25
2,0,2,0,0,0,246,15
0,2,1,0,1,96,154,17
0,1,2,1,0,0,136,23
1,0,0,1,1,136,292,6
1,2,2,1,0,0,190,7
2,0,0,2,1,57,52,26
1,1,2,2,0,1,51,14
2,2,2,0,1,0,302,2
0,1,0,1,1,161,169,10
2,0,0,0,0,0,72,15
2,1,0,1,1,0,266,20
1,0,2,0,0,0,309,22
0,1,0,2,0,0,257,25
0,0,2,2,1,0,33,13
1,1,1,1,1,0,288,13
2,2,1,1,1,0,144,21
0,2,2,0,0,0,42,24
2,1,1,0,0,0,38,11
1,2,0,2,0,0,244,21
0,1,1,2,0,39,311,23
1,0,1,2,0,0,264,15
2,0,1,2,1,0,68,2
0,1,1,1,1,0,8,0
2,0,1,0,0,0,262,0
0,2,2,2,0,61,183,7
0,0,1,0,1,0,202,3
0,1,2,1,0,164,70,22
2,1,1,0,0,0,175,16
0,0,2,1,0,0,36,11
2,0,1,1,1,0,19,6
1,0,2,1,0,0,64,24
1,1,2,2,0,0,274,3
0,0,1,2,0,0,107,0
1,2,0,1,0,166,298,3
0,2,0,0,1,0,113,21
1,0,0,1,1,0,218,4
0,1,0,1,1,0,123,4
1,0,1,1,1,0,62,7
1,2,0,0,1,0,299,3
0,1,0,0,1,107,225,17
2,2,0,0,1,0,121,12
2,2,0,0,0,0,277,5
1,0,2,2,1,0,78,27
0,1,0,2,0,0,29,18
2,0,2,1,0,0,104,25
2,1,0,2,1,0,149,6
0,1,2,1,1,0,208,4
0,2,2,1,0,171,191,21
0,0,0,0,1,0,85,20
0,0,0,1,1,0,11,13
2,1,2,0,1,0,42,11
1,1,1,1,1,0,115,15
1,1,2,1,1,0,304,17
0,0,0,1,0,0,141,14
1,0,0,2,0,0,8,19
0,0,1,1,0,0,208,13
2,0,2,2,1,154,86,21
0,2,1,2,0,0,183,26
2,2,0,2,1,0,264,22
0,0,1,2,0,148,60,9
2,0,0,2,0,0,264,8
0,2,1,1,0,0,215,18
2,2,2,0,1,0,238,19
2,1,1,0,0,0,178,26
2,1,0,0,0,148,105,10
2,2,2,1,1,0,274,20
1,2,1,0,0,0,196,16
1,2,0,1,0,107,248,27
0,0,2,1,1,0,111,20
0,1,1,1,0,0,133,24
2,1,2,1,0,0,43,18
1,0,0,2,1,0,79,6
0,2,2,2,0,0,268,18
0,1,2,2,1,0,130,16
0,1,0,0,0,0,294,25
1,0,1,2,0,0,187,25
0,0,0,1,0,0,280,6
2,2,0,1,0,42,260,11
0,2,0,0,1,0,127,26
1,0,1,2,0,0,267,10
1,2,0,0,1,0,114,20
0,2,1,2,1,0,153,2
2,0,2,2,0,0,39,6
1,2,0,2,1,0,81,21
1,2,1,1,0,0,204,24
0,1,0,2,1,0,172,11
2,1,0,2,0,0,68,25
0,2,2,0,1,0,222,5
2,2,1,0,1,0,234,18
0,2,1,1,0,0,12,12
0,0,2,0,0,0,243,11
1,0,1,1,0,84,64,21
0,1,1,0,1,0,166,22
1,1,2,0,0,0,229,14
0,1,2,0,0,0,157,11
2,1,0,1,1,0,6,7
2,2,1,0,1,0,45,19
2,1,2,1,0,0,69,2
1,1,2,1,0,99,14,11
2,0,2,0,0,60,68,0
0,0,1,0,1,0,6,13
1,2,1,0,0,89,267,15
0,2,0,0,0,0,189,20
2,1,0,2,0,0,1,5
1,0,0,2,1,0,22,27
2,2,2,0,0,0,242,16
1,0,0,0,0,0,122,9
1,2,2,0,0,0,79,20
1,0,1,1,1,0,285,5
0,2,2,0,1,0,106,12
2,0,1,2,0,0,78,13
2,0,0,0,0,0,311,11
1,0,0,2,0,0,55,16
1,0,0,0,0,0,172,9
2,0,1,2,0,0,56,23
0,1,0,2,1,0,1,7
2,2,0,1,0,0,24,13
2,0,2,2,0,0,68,12
2,1,0,0,1,0,22,15
1,0,2,2,1,0,59,8
2,0,1,1,1,0,257,16
1,0,2,2,0,0,145,7
1,0,1,1,1,46,52,10
1,1,0,2,1,119,175,5
2,0,1,2,0,173,294,16
2,1,2,0,0,0,287,6
0,2,1,2,0,0,4,11
1,0,2,1,0,0,301,24
1,1,0,2,1,0,213,4
1,2,2,1,0,0,148,25
2,1,0,2,1,0,190,5
0,2,2,1,0,146,203,22
0,2,1,1,1,0,97,23
2,1,0,0,0,96,242,17
0,1,0,0,0,0,88,6
2,1,1,0,1,0,233,21
0,1,0,1,1,0,93,21
1,2,1,2,1,0,221,26
2,2,2,2,0,32,124,10
2,2,2,2,0,0,163,6
2,0,2,2,1,0,8,27
2,1,0,2,1,0,188,10
0,1,0,1,1,0,122,26
2,2,0,0,0,85,203,23
0,0,0,0,0,0,249,5
2,2,0,1,1,0,247,17
0,2,2,0,0,0,178,20
1,2,1,0,0,0,227,19
2,1,2,1,0,0,60,14
1,1,1,0,0,0,234,13
2,1,2,1,0,0,124,9
0,2,2,1,0,0,98,9
2,1,1,2,0,0,161,27
0,0,1,1,1,131,290,14
2,0,0,0,0,0,126,18
1,2,2,1,0,12,94,15
1,0,2,0,0,71,302,18
1,0,1,0,1,0,113,18
2,2,2,2,1,0,297,27
0,1,0,1,1,0,93,13
1,1,1,0,0,132,15,16
0,1,0,0,0,9,250,23
0,1,2,2,1,0,39,19
0,0,0,1,0,0,201,22
2,0,0,1,0,101,133,6
2,1,0,0,1,0,35,0
0,1,0,2,0,0,235,13
0,0,0,1,1,0,32,6
1,0,1,0,1,0,179,20
0,0,0,0,1,0,173,21
2,0,1,0,0,0,56,24
2,1,2,1,1,80,100,15
0,0,0,0,1,0,128,10
0,1,2,0,1,0,153,13
1,1,0,2,0,0,241,6
0,1,0,0,1,0,247,16
0,0,2,0,1,0,207,4
2,2,2,1,1,0,183,5
2,0,1,2,0,0,10,9
2,2,1,0,0,0,164,17
0,0,2,1,1,0,94,0
2,2,1,2,0,0,84,24
1,0,2,0,1,0,123,12
0,2,2,0,0,0,275,10
2,2,1,2,0,0,68,18
1,2,2,1,1,67,216,19
2,2,0,2,1,0,172,11
2,2,1,1,0,0,315,1
1,1,2,2,0,37,11,13
1,2,2,0,1,54,278,18
0,2,2,0,0,0,293,14
0,0,0,2,1,0,253,21
0,0,0,1,0,0,79,3
1,2,0,2,1,0,312,3
0,1,0,0,1,0,92,24
0,2,1,0,0,0,9,1
2,2,2,2,1,0,70,10
1,1,2,0,0,135,104,12
1,1,1,1,0,0,2,12
2,2,0,0,1,0,265,9
0,2,0,2,0,0,62,21
2,0,1,2,0,0,204,0
2,2,1,0,1,0,198,15
1,0,1,0,1,68,156,11
2,0,1,2,0,0,304,21
1,0,0,0,0,0,127,0
0,1,2,1,1,0,23,4
0,2,0,0,1,95,295,24
0,0,0,1,1,0,255,3
2,1,2,1,1,0,233,12
1,0,0,2,1,135,211,17
0,0,0,2,0,0,312,4
2,2,1,0,1,54,271,25
0,1,1,2,1,0,240,7
1,2,1,1,1,0,124,27
2,2,1,0,0,0,74,9
2,1,2,0,0,0,151,1
2,2,2,1,0,0,256,22
0,1,0,0,1,0,3,7
0,1,2,0,1,0,258,27
2,2,0,0,0,0,300,26
0,2,0,2,1,0,85,10
1,0,1,1,0,0,49,25
0,2,0,0,1,0,117,10
2,1,0,0,0,0,287,2
0,1,2,2,0,0,21,20
1,2,2,0,1,0,294,11
0,0,1,0,1,0,172,6
1,0,1,0,0,0,82,15
2,0,2,2,0,0,181,22
1,0,0,1,1,141,214,18
0,0,1,2,1,0,64,7
0,1,0,0,0,0,41,4
2,0,2,2,1,0,37,17
1,2,2,1,1,0,178,24
2,1,1,0,0,0,46,9
1,0,2,1,0,137,229,18
2,2,1,1,1,0,298,7
2,1,1,0,1,0,118,15
1,0,1,1,0,0,239,13
1,0,0,0,1,64,192,3
0,1,2,1,1,0,70,22
2,2,0,1,1,64,100,17
0,1,0,1,1,156,130,11
0,1,0,2,1,0,137,14
1,1,0,2,0,0,87,6
0,1,2,2,1,0,117,4
1,2,0,1,1,0,48,1
0,0,0,0,1,16,203,2
0,2,2,0,1,0,41,11
1,1,2,0,0,0,31,11
2,0,1,1,1,0,300,27
1,0,2,1,1,0,56,25
1,0,2,2,1,0,28,13
1,0,1,0,0,0,117,1
2,1,1,1,0,0,141,17
1,2,0,0,0,58,111,19
0,1,1,2,1,0,297,19
1,2,2,1,0,0,109,22
1,1,0,2,0,0,73,15
2,1,2,0,0,0,184,1
1,0,1,0,0,0,149,20
2,0,0,1,0,0,268,19
0,0,2,2,1,0,164,24
0,1,2,2,1,0,310,14
1,2,2,1,0,179,10,24
1,0,0,0,0,0,288,2
0,2,2,1,1,0,252,23
0,0,2,1,0,0,252,13
1,1,0,1,0,111,169,25
0,0,0,0,0,0,291,0
1,1,1,1,1,0,76,6
2,1,1,2,0,0,158,15
1,1,2,2,0,0,102,19
0,2,0,1,1,100,244,16
0,2,0,0,0,0,40,26
2,2,2,2,1,171,309,10
0,2,2,2,1,0,23,0
2,0,0,2,1,0,58,24
1,1,2,1,1,0,5,27
0,2,2,1,1,0,120,15
0,1,2,1,0,0,144,21
1,1,1,2,1,129,244,13
0,0,0,1,1,0,101,17
0,1,2,0,1,28,4,2
0,2,0,2,0,0,123,8
0,1,2,1,0,0,2,19
2,0,0,2,0,0,141,11
1,0,2,0,1,0,256,9
1,2,2,2,0,46,131,0
0,1,2,0,0,0,280,13
0,0,0,1,1,152,44,11
2,2,0,2,1,138,260,19
2,1,0,2,0,0,147,18
2,0,2,0,0,141,82,1
1,0,1,0,0,0,22,13
1,1,2,0,1,0,104,12
0,2,1,1,1,0,36,7
2,0,2,0,1,123,195,22
1,2,1,1,1,0,204,5
2,2,2,2,1,0,68,27
0,2,2,2,1,0,61,12
2,2,1,1,0,0,161,0
